# Assembly name:  EquCab3.0
# Organism name:  Equus caballus (horse)
# Infraspecific name:  breed=thoroughbred
# Isolate:  Twilight
# Sex:  female
# Taxid:          9796
# BioSample:      SAMN02953672
# BioProject:     PRJNA421018
# Submitter:      University of Louisville
# Date:           2018-01-05
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    PJAA01
# Assembly method: Celera Assembler v. 2017; HiRise v. 2017
# Expected final version: yes
# Genome coverage: 88.0x
# Sequencing technology: Sanger; Illumina HiSeq; PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_002863925.1
# RefSeq assembly accession: GCF_002863925.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002863935.1	GCF_002863935.1	Primary Assembly
## 	GCF_000215765.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Contig210	unplaced-scaffold	na	na	PJAA01000242.1	=	NW_019642196.1	Primary Assembly	5789	na
Contig211	unplaced-scaffold	na	na	PJAA01000243.1	=	NW_019642200.1	Primary Assembly	3839	na
Contig212	unplaced-scaffold	na	na	PJAA01000244.1	=	NW_019642202.1	Primary Assembly	5524	na
Contig213	unplaced-scaffold	na	na	PJAA01000245.1	=	NW_019642209.1	Primary Assembly	4671	na
Contig214	unplaced-scaffold	na	na	PJAA01000246.1	=	NW_019642212.1	Primary Assembly	3258	na
Contig215	unplaced-scaffold	na	na	PJAA01000247.1	=	NW_019642216.1	Primary Assembly	4812	na
Contig216	unplaced-scaffold	na	na	PJAA01000248.1	=	NW_019642219.1	Primary Assembly	5413	na
Contig217	unplaced-scaffold	na	na	PJAA01000249.1	=	NW_019642223.1	Primary Assembly	8841	na
Contig218	unplaced-scaffold	na	na	PJAA01000250.1	=	NW_019642227.1	Primary Assembly	14186	na
Contig219	unplaced-scaffold	na	na	PJAA01000251.1	=	NW_019642231.1	Primary Assembly	5333	na
Contig220	unplaced-scaffold	na	na	PJAA01000252.1	=	NW_019642240.1	Primary Assembly	5497	na
Contig221	unplaced-scaffold	na	na	PJAA01000253.1	=	NW_019642244.1	Primary Assembly	4340	na
Contig222	unplaced-scaffold	na	na	PJAA01000254.1	=	NW_019642246.1	Primary Assembly	5663	na
Contig223	unplaced-scaffold	na	na	PJAA01000255.1	=	NW_019642253.1	Primary Assembly	6182	na
Contig224	unplaced-scaffold	na	na	PJAA01000256.1	=	NW_019642259.1	Primary Assembly	4135	na
Contig225	unplaced-scaffold	na	na	PJAA01000257.1	=	NW_019642263.1	Primary Assembly	6616	na
Contig226	unplaced-scaffold	na	na	PJAA01000258.1	=	NW_019642267.1	Primary Assembly	8431	na
Contig227	unplaced-scaffold	na	na	PJAA01000259.1	=	NW_019642270.1	Primary Assembly	4982	na
Contig228	unplaced-scaffold	na	na	PJAA01000260.1	=	NW_019642274.1	Primary Assembly	5210	na
Contig229	unplaced-scaffold	na	na	PJAA01000261.1	=	NW_019642278.1	Primary Assembly	6753	na
Contig230	unplaced-scaffold	na	na	PJAA01000262.1	=	NW_019642282.1	Primary Assembly	5629	na
Contig231	unplaced-scaffold	na	na	PJAA01000263.1	=	NW_019642284.1	Primary Assembly	5253	na
Contig232	unplaced-scaffold	na	na	PJAA01000264.1	=	NW_019642285.1	Primary Assembly	7712	na
Contig233	unplaced-scaffold	na	na	PJAA01000265.1	=	NW_019642288.1	Primary Assembly	20231	na
Contig234	unplaced-scaffold	na	na	PJAA01000266.1	=	NW_019642293.1	Primary Assembly	4434	na
Contig235	unplaced-scaffold	na	na	PJAA01000267.1	=	NW_019642297.1	Primary Assembly	18011	na
Contig236	unplaced-scaffold	na	na	PJAA01000268.1	=	NW_019642304.1	Primary Assembly	4602	na
Contig237	unplaced-scaffold	na	na	PJAA01000269.1	=	NW_019642308.1	Primary Assembly	4410	na
Contig238	unplaced-scaffold	na	na	PJAA01000270.1	=	NW_019642311.1	Primary Assembly	3917	na
Contig239	unplaced-scaffold	na	na	PJAA01000271.1	=	NW_019642314.1	Primary Assembly	6753	na
Contig240	unplaced-scaffold	na	na	PJAA01000272.1	=	NW_019642318.1	Primary Assembly	10620	na
Contig241	unplaced-scaffold	na	na	PJAA01000273.1	=	NW_019642321.1	Primary Assembly	4318	na
Contig242	unplaced-scaffold	na	na	PJAA01000274.1	=	NW_019642328.1	Primary Assembly	5223	na
Contig243	unplaced-scaffold	na	na	PJAA01000275.1	=	NW_019642331.1	Primary Assembly	3787	na
Contig244	unplaced-scaffold	na	na	PJAA01000276.1	=	NW_019642337.1	Primary Assembly	17225	na
Contig245	unplaced-scaffold	na	na	PJAA01000277.1	=	NW_019642339.1	Primary Assembly	3660	na
Contig246	unplaced-scaffold	na	na	PJAA01000278.1	=	NW_019642344.1	Primary Assembly	5397	na
Contig247	unplaced-scaffold	na	na	PJAA01000279.1	=	NW_019642350.1	Primary Assembly	10568	na
Contig248	unplaced-scaffold	na	na	PJAA01000280.1	=	NW_019642353.1	Primary Assembly	3767	na
Contig249	unplaced-scaffold	na	na	PJAA01000281.1	=	NW_019642356.1	Primary Assembly	7429	na
Contig250	unplaced-scaffold	na	na	PJAA01000282.1	=	NW_019642360.1	Primary Assembly	4442	na
Contig251	unplaced-scaffold	na	na	PJAA01000283.1	=	NW_019642365.1	Primary Assembly	4697	na
Contig252	unplaced-scaffold	na	na	PJAA01000284.1	=	NW_019642367.1	Primary Assembly	7128	na
Contig253	unplaced-scaffold	na	na	PJAA01000285.1	=	NW_019642371.1	Primary Assembly	4282	na
Contig254	unplaced-scaffold	na	na	PJAA01000286.1	=	NW_019642376.1	Primary Assembly	4191	na
Contig255	unplaced-scaffold	na	na	PJAA01000287.1	=	NW_019642380.1	Primary Assembly	6776	na
Contig256	unplaced-scaffold	na	na	PJAA01000288.1	=	NW_019642390.1	Primary Assembly	4932	na
Contig257	unplaced-scaffold	na	na	PJAA01000289.1	=	NW_019642392.1	Primary Assembly	8503	na
Contig258	unplaced-scaffold	na	na	PJAA01000290.1	=	NW_019642395.1	Primary Assembly	5525	na
Contig259	unplaced-scaffold	na	na	PJAA01000291.1	=	NW_019642400.1	Primary Assembly	5343	na
Contig260	unplaced-scaffold	na	na	PJAA01000292.1	=	NW_019642408.1	Primary Assembly	5142	na
Contig261	unplaced-scaffold	na	na	PJAA01000293.1	=	NW_019642411.1	Primary Assembly	11600	na
Contig262	unplaced-scaffold	na	na	PJAA01000294.1	=	NW_019642415.1	Primary Assembly	9916	na
Contig263	unplaced-scaffold	na	na	PJAA01000295.1	=	NW_019642422.1	Primary Assembly	6310	na
Contig264	unplaced-scaffold	na	na	PJAA01000296.1	=	NW_019642424.1	Primary Assembly	4738	na
Contig265	unplaced-scaffold	na	na	PJAA01000297.1	=	NW_019642425.1	Primary Assembly	4604	na
Contig266	unplaced-scaffold	na	na	PJAA01000298.1	=	NW_019642430.1	Primary Assembly	6357	na
Contig267	unplaced-scaffold	na	na	PJAA01000299.1	=	NW_019642433.1	Primary Assembly	3038	na
Contig292	unplaced-scaffold	na	na	PJAA01000300.1	=	NW_019642516.1	Primary Assembly	3418	na
Contig305	unplaced-scaffold	na	na	PJAA01000301.1	=	NW_019642560.1	Primary Assembly	4015	na
Contig306	unplaced-scaffold	na	na	PJAA01000302.1	=	NW_019642564.1	Primary Assembly	3315	na
Contig325	unplaced-scaffold	na	na	PJAA01000303.1	=	NW_019642631.1	Primary Assembly	4240	na
Contig336	unplaced-scaffold	na	na	PJAA01000304.1	=	NW_019642676.1	Primary Assembly	4251	na
Contig346	unplaced-scaffold	na	na	PJAA01000305.1	=	NW_019642788.1	Primary Assembly	3555	na
Contig363	unplaced-scaffold	na	na	PJAA01000306.1	=	NW_019642845.1	Primary Assembly	3312	na
Contig367	unplaced-scaffold	na	na	PJAA01000307.1	=	NW_019642862.1	Primary Assembly	6307	na
Contig368	unplaced-scaffold	na	na	PJAA01000308.1	=	NW_019642867.1	Primary Assembly	3464	na
Contig370	unplaced-scaffold	na	na	PJAA01000309.1	=	NW_019642871.1	Primary Assembly	6931	na
Contig391	unplaced-scaffold	na	na	PJAA01000310.1	=	NW_019642958.1	Primary Assembly	11440	na
Contig400	unplaced-scaffold	na	na	PJAA01000311.1	=	NW_019643011.1	Primary Assembly	3585	na
Contig402	unplaced-scaffold	na	na	PJAA01000312.1	=	NW_019643019.1	Primary Assembly	4751	na
Contig403	unplaced-scaffold	na	na	PJAA01000313.1	=	NW_019643021.1	Primary Assembly	3461	na
Contig414	unplaced-scaffold	na	na	PJAA01000314.1	=	NW_019643075.1	Primary Assembly	3732	na
Contig417	unplaced-scaffold	na	na	PJAA01000315.1	=	NW_019643086.1	Primary Assembly	3144	na
Contig424	unplaced-scaffold	na	na	PJAA01000316.1	=	NW_019643129.1	Primary Assembly	5372	na
Contig432	unplaced-scaffold	na	na	PJAA01000317.1	=	NW_019643165.1	Primary Assembly	5686	na
Contig435	unplaced-scaffold	na	na	PJAA01000318.1	=	NW_019643177.1	Primary Assembly	17450	na
Contig436	unplaced-scaffold	na	na	PJAA01000319.1	=	NW_019643180.1	Primary Assembly	4646	na
Contig439	unplaced-scaffold	na	na	PJAA01000320.1	=	NW_019643190.1	Primary Assembly	6923	na
Contig442	unplaced-scaffold	na	na	PJAA01000321.1	=	NW_019643211.1	Primary Assembly	3291	na
Contig453	unplaced-scaffold	na	na	PJAA01000322.1	=	NW_019643264.1	Primary Assembly	4771	na
Contig466	unplaced-scaffold	na	na	PJAA01000323.1	=	NW_019643311.1	Primary Assembly	4007	na
Contig474	unplaced-scaffold	na	na	PJAA01000324.1	=	NW_019643352.1	Primary Assembly	4998	na
Contig481	unplaced-scaffold	na	na	PJAA01000325.1	=	NW_019643402.1	Primary Assembly	3667	na
Contig495	unplaced-scaffold	na	na	PJAA01000326.1	=	NW_019643520.1	Primary Assembly	7460	na
Contig499	unplaced-scaffold	na	na	PJAA01000327.1	=	NW_019643567.1	Primary Assembly	3540	na
Contig501	unplaced-scaffold	na	na	PJAA01000328.1	=	NW_019643587.1	Primary Assembly	4068	na
Contig517	unplaced-scaffold	na	na	PJAA01000329.1	=	NW_019643754.1	Primary Assembly	4408	na
Contig518	unplaced-scaffold	na	na	PJAA01000330.1	=	NW_019643767.1	Primary Assembly	4003	na
Contig524	unplaced-scaffold	na	na	PJAA01000331.1	=	NW_019643833.1	Primary Assembly	3405	na
Contig527	unplaced-scaffold	na	na	PJAA01000332.1	=	NW_019643865.1	Primary Assembly	8275	na
Contig555	unplaced-scaffold	na	na	PJAA01000333.1	=	NW_019644150.1	Primary Assembly	8617	na
Contig566	unplaced-scaffold	na	na	PJAA01000334.1	=	NW_019644262.1	Primary Assembly	3894	na
Contig599	unplaced-scaffold	na	na	PJAA01000335.1	=	NW_019644628.1	Primary Assembly	3481	na
Contig608	unplaced-scaffold	na	na	PJAA01000336.1	=	NW_019644729.1	Primary Assembly	4731	na
Contig620	unplaced-scaffold	na	na	PJAA01000337.1	=	NW_019644855.1	Primary Assembly	3883	na
Contig624	unplaced-scaffold	na	na	PJAA01000338.1	=	NW_019644908.1	Primary Assembly	6028	na
Contig650	unplaced-scaffold	na	na	PJAA01000339.1	=	NW_019645177.1	Primary Assembly	5919	na
Contig651	unplaced-scaffold	na	na	PJAA01000340.1	=	NW_019645186.1	Primary Assembly	3603	na
Contig652	unplaced-scaffold	na	na	PJAA01000341.1	=	NW_019645199.1	Primary Assembly	4299	na
Contig658	unplaced-scaffold	na	na	PJAA01000342.1	=	NW_019645262.1	Primary Assembly	4818	na
Contig659	unplaced-scaffold	na	na	PJAA01000343.1	=	NW_019645273.1	Primary Assembly	4189	na
Contig690	unplaced-scaffold	na	na	PJAA01000344.1	=	NW_019645574.1	Primary Assembly	3273	na
Contig697	unplaced-scaffold	na	na	PJAA01000345.1	=	NW_019645644.1	Primary Assembly	3367	na
Contig719	unplaced-scaffold	na	na	PJAA01000346.1	=	NW_019645775.1	Primary Assembly	4237	na
Contig722	unplaced-scaffold	na	na	PJAA01000347.1	=	NW_019645787.1	Primary Assembly	4049	na
Contig725	unplaced-scaffold	na	na	PJAA01000348.1	=	NW_019645795.1	Primary Assembly	5993	na
Contig732	unplaced-scaffold	na	na	PJAA01000349.1	=	NW_019645811.1	Primary Assembly	3740	na
Contig737	unplaced-scaffold	na	na	PJAA01000350.1	=	NW_019645826.1	Primary Assembly	3111	na
Contig752	unplaced-scaffold	na	na	PJAA01000351.1	=	NW_019645862.1	Primary Assembly	3794	na
Contig756	unplaced-scaffold	na	na	PJAA01000352.1	=	NW_019645872.1	Primary Assembly	4706	na
Contig771	unplaced-scaffold	na	na	PJAA01000353.1	=	NW_019645915.1	Primary Assembly	3053	na
Contig772	unplaced-scaffold	na	na	PJAA01000354.1	=	NW_019645917.1	Primary Assembly	3462	na
Contig793	unplaced-scaffold	na	na	PJAA01000355.1	=	NW_019645973.1	Primary Assembly	3089	na
Contig796	unplaced-scaffold	na	na	PJAA01000356.1	=	NW_019645983.1	Primary Assembly	4961	na
Contig812	unplaced-scaffold	na	na	PJAA01000357.1	=	NW_019646022.1	Primary Assembly	3063	na
Contig813	unplaced-scaffold	na	na	PJAA01000358.1	=	NW_019646025.1	Primary Assembly	7837	na
Contig814	unplaced-scaffold	na	na	PJAA01000359.1	=	NW_019646026.1	Primary Assembly	6223	na
Contig821	unplaced-scaffold	na	na	PJAA01000360.1	=	NW_019646048.1	Primary Assembly	4542	na
Contig831	unplaced-scaffold	na	na	PJAA01000361.1	=	NW_019646075.1	Primary Assembly	4285	na
Contig857	unplaced-scaffold	na	na	PJAA01000362.1	=	NW_019646140.1	Primary Assembly	11409	na
Contig865	unplaced-scaffold	na	na	PJAA01000363.1	=	NW_019646157.1	Primary Assembly	11763	na
Contig868	unplaced-scaffold	na	na	PJAA01000364.1	=	NW_019646166.1	Primary Assembly	6136	na
Contig891	unplaced-scaffold	na	na	PJAA01000365.1	=	NW_019646233.1	Primary Assembly	6059	na
Contig895	unplaced-scaffold	na	na	PJAA01000366.1	=	NW_019646244.1	Primary Assembly	3475	na
Contig900	unplaced-scaffold	na	na	PJAA01000367.1	=	NW_019646255.1	Primary Assembly	4410	na
Contig905	unplaced-scaffold	na	na	PJAA01000368.1	=	NW_019646264.1	Primary Assembly	11763	na
Contig910	unplaced-scaffold	na	na	PJAA01000369.1	=	NW_019646281.1	Primary Assembly	3488	na
Contig947	unplaced-scaffold	na	na	PJAA01000370.1	=	NW_019646368.1	Primary Assembly	4663	na
Contig952	unplaced-scaffold	na	na	PJAA01000371.1	=	NW_019646383.1	Primary Assembly	3018	na
Contig956	unplaced-scaffold	na	na	PJAA01000372.1	=	NW_019646394.1	Primary Assembly	4180	na
Contig962	unplaced-scaffold	na	na	PJAA01000373.1	=	NW_019646398.1	Primary Assembly	4710	na
Contig988	unplaced-scaffold	na	na	PJAA01000374.1	=	NW_019646408.1	Primary Assembly	7822	na
Contig991	unplaced-scaffold	na	na	PJAA01000375.1	=	NW_019646410.1	Primary Assembly	4570	na
Contig1006	unplaced-scaffold	na	na	PJAA01000376.1	=	NW_019641749.1	Primary Assembly	4382	na
Contig1014	unplaced-scaffold	na	na	PJAA01000377.1	=	NW_019641756.1	Primary Assembly	3694	na
Contig1060	unplaced-scaffold	na	na	PJAA01000378.1	=	NW_019641772.1	Primary Assembly	4319	na
Contig1068	unplaced-scaffold	na	na	PJAA01000379.1	=	NW_019641777.1	Primary Assembly	4315	na
Contig1070	unplaced-scaffold	na	na	PJAA01000380.1	=	NW_019641779.1	Primary Assembly	6666	na
Contig1085	unplaced-scaffold	na	na	PJAA01000381.1	=	NW_019641788.1	Primary Assembly	5179	na
Contig1090	unplaced-scaffold	na	na	PJAA01000382.1	=	NW_019641789.1	Primary Assembly	4086	na
Contig1104	unplaced-scaffold	na	na	PJAA01000383.1	=	NW_019641793.1	Primary Assembly	6428	na
Contig1107	unplaced-scaffold	na	na	PJAA01000384.1	=	NW_019641795.1	Primary Assembly	3131	na
Contig1113	unplaced-scaffold	na	na	PJAA01000385.1	=	NW_019641798.1	Primary Assembly	9279	na
Contig1126	unplaced-scaffold	na	na	PJAA01000386.1	=	NW_019641802.1	Primary Assembly	3384	na
Contig1156	unplaced-scaffold	na	na	PJAA01000387.1	=	NW_019641809.1	Primary Assembly	3527	na
Contig1186	unplaced-scaffold	na	na	PJAA01000388.1	=	NW_019641816.1	Primary Assembly	3017	na
Contig1210	unplaced-scaffold	na	na	PJAA01000389.1	=	NW_019641829.1	Primary Assembly	7413	na
Contig1211	unplaced-scaffold	na	na	PJAA01000390.1	=	NW_019641830.1	Primary Assembly	5619	na
Contig1218	unplaced-scaffold	na	na	PJAA01000391.1	=	NW_019641834.1	Primary Assembly	3876	na
Contig1225	unplaced-scaffold	na	na	PJAA01000392.1	=	NW_019641839.1	Primary Assembly	4708	na
Contig1245	unplaced-scaffold	na	na	PJAA01000393.1	=	NW_019641845.1	Primary Assembly	8309	na
Contig1256	unplaced-scaffold	na	na	PJAA01000394.1	=	NW_019641850.1	Primary Assembly	11741	na
Contig1270	unplaced-scaffold	na	na	PJAA01000395.1	=	NW_019641857.1	Primary Assembly	3086	na
Contig1272	unplaced-scaffold	na	na	PJAA01000396.1	=	NW_019641859.1	Primary Assembly	7673	na
Contig1274	unplaced-scaffold	na	na	PJAA01000397.1	=	NW_019641860.1	Primary Assembly	3154	na
Contig1290	unplaced-scaffold	na	na	PJAA01000398.1	=	NW_019641867.1	Primary Assembly	3317	na
Contig1294	unplaced-scaffold	na	na	PJAA01000399.1	=	NW_019641869.1	Primary Assembly	3370	na
Contig1297	unplaced-scaffold	na	na	PJAA01000400.1	=	NW_019641871.1	Primary Assembly	4171	na
Contig1304	unplaced-scaffold	na	na	PJAA01000401.1	=	NW_019641877.1	Primary Assembly	3682	na
Contig1305	unplaced-scaffold	na	na	PJAA01000402.1	=	NW_019641879.1	Primary Assembly	3594	na
Contig1318	unplaced-scaffold	na	na	PJAA01000403.1	=	NW_019641882.1	Primary Assembly	6685	na
Contig1325	unplaced-scaffold	na	na	PJAA01000404.1	=	NW_019641885.1	Primary Assembly	3778	na
Contig1342	unplaced-scaffold	na	na	PJAA01000405.1	=	NW_019641893.1	Primary Assembly	3368	na
Contig1351	unplaced-scaffold	na	na	PJAA01000406.1	=	NW_019641901.1	Primary Assembly	4161	na
Contig1357	unplaced-scaffold	na	na	PJAA01000407.1	=	NW_019641903.1	Primary Assembly	3373	na
Contig1361	unplaced-scaffold	na	na	PJAA01000408.1	=	NW_019641905.1	Primary Assembly	3449	na
Contig1363	unplaced-scaffold	na	na	PJAA01000409.1	=	NW_019641906.1	Primary Assembly	3724	na
Contig1379	unplaced-scaffold	na	na	PJAA01000410.1	=	NW_019641914.1	Primary Assembly	4484	na
Contig1385	unplaced-scaffold	na	na	PJAA01000411.1	=	NW_019641916.1	Primary Assembly	4226	na
Contig1402	unplaced-scaffold	na	na	PJAA01000412.1	=	NW_019641926.1	Primary Assembly	3303	na
Contig1411	unplaced-scaffold	na	na	PJAA01000413.1	=	NW_019641928.1	Primary Assembly	3424	na
Contig1426	unplaced-scaffold	na	na	PJAA01000414.1	=	NW_019641931.1	Primary Assembly	4258	na
Contig1439	unplaced-scaffold	na	na	PJAA01000415.1	=	NW_019641934.1	Primary Assembly	3841	na
Contig1444	unplaced-scaffold	na	na	PJAA01000416.1	=	NW_019641936.1	Primary Assembly	3639	na
Contig1447	unplaced-scaffold	na	na	PJAA01000417.1	=	NW_019641938.1	Primary Assembly	5735	na
Contig1452	unplaced-scaffold	na	na	PJAA01000418.1	=	NW_019641942.1	Primary Assembly	3528	na
Contig1489	unplaced-scaffold	na	na	PJAA01000419.1	=	NW_019641952.1	Primary Assembly	4537	na
Contig1511	unplaced-scaffold	na	na	PJAA01000420.1	=	NW_019641963.1	Primary Assembly	3500	na
Contig1520	unplaced-scaffold	na	na	PJAA01000421.1	=	NW_019641969.1	Primary Assembly	9472	na
Contig1527	unplaced-scaffold	na	na	PJAA01000422.1	=	NW_019641970.1	Primary Assembly	4011	na
Contig1556	unplaced-scaffold	na	na	PJAA01000423.1	=	NW_019641983.1	Primary Assembly	3488	na
Contig1564	unplaced-scaffold	na	na	PJAA01000424.1	=	NW_019641986.1	Primary Assembly	4379	na
Contig1567	unplaced-scaffold	na	na	PJAA01000425.1	=	NW_019641987.1	Primary Assembly	5371	na
Contig1585	unplaced-scaffold	na	na	PJAA01000426.1	=	NW_019641994.1	Primary Assembly	3640	na
Contig1588	unplaced-scaffold	na	na	PJAA01000427.1	=	NW_019641995.1	Primary Assembly	3955	na
Contig1613	unplaced-scaffold	na	na	PJAA01000428.1	=	NW_019642001.1	Primary Assembly	7442	na
Contig1635	unplaced-scaffold	na	na	PJAA01000429.1	=	NW_019642007.1	Primary Assembly	3478	na
Contig1669	unplaced-scaffold	na	na	PJAA01000430.1	=	NW_019642021.1	Primary Assembly	3040	na
Contig1674	unplaced-scaffold	na	na	PJAA01000431.1	=	NW_019642026.1	Primary Assembly	3830	na
Contig1679	unplaced-scaffold	na	na	PJAA01000432.1	=	NW_019642028.1	Primary Assembly	3057	na
Contig1696	unplaced-scaffold	na	na	PJAA01000433.1	=	NW_019642036.1	Primary Assembly	3336	na
Contig1699	unplaced-scaffold	na	na	PJAA01000434.1	=	NW_019642037.1	Primary Assembly	6417	na
Contig1706	unplaced-scaffold	na	na	PJAA01000435.1	=	NW_019642041.1	Primary Assembly	3325	na
Contig1718	unplaced-scaffold	na	na	PJAA01000436.1	=	NW_019642044.1	Primary Assembly	4036	na
Contig1726	unplaced-scaffold	na	na	PJAA01000437.1	=	NW_019642047.1	Primary Assembly	3549	na
Contig1745	unplaced-scaffold	na	na	PJAA01000438.1	=	NW_019642054.1	Primary Assembly	3774	na
Contig1749	unplaced-scaffold	na	na	PJAA01000439.1	=	NW_019642056.1	Primary Assembly	4575	na
Contig1752	unplaced-scaffold	na	na	PJAA01000440.1	=	NW_019642060.1	Primary Assembly	3763	na
Contig1790	unplaced-scaffold	na	na	PJAA01000441.1	=	NW_019642070.1	Primary Assembly	5790	na
Contig1798	unplaced-scaffold	na	na	PJAA01000442.1	=	NW_019642074.1	Primary Assembly	3071	na
Contig1826	unplaced-scaffold	na	na	PJAA01000443.1	=	NW_019642084.1	Primary Assembly	9530	na
Contig1828	unplaced-scaffold	na	na	PJAA01000444.1	=	NW_019642087.1	Primary Assembly	3433	na
Contig1839	unplaced-scaffold	na	na	PJAA01000445.1	=	NW_019642092.1	Primary Assembly	4789	na
Contig1865	unplaced-scaffold	na	na	PJAA01000446.1	=	NW_019642102.1	Primary Assembly	8811	na
Contig1876	unplaced-scaffold	na	na	PJAA01000447.1	=	NW_019642106.1	Primary Assembly	7045	na
Contig1878	unplaced-scaffold	na	na	PJAA01000448.1	=	NW_019642108.1	Primary Assembly	7315	na
Contig1879	unplaced-scaffold	na	na	PJAA01000449.1	=	NW_019642109.1	Primary Assembly	3925	na
Contig1886	unplaced-scaffold	na	na	PJAA01000450.1	=	NW_019642112.1	Primary Assembly	3789	na
Contig1888	unplaced-scaffold	na	na	PJAA01000451.1	=	NW_019642113.1	Primary Assembly	3672	na
Contig1901	unplaced-scaffold	na	na	PJAA01000452.1	=	NW_019642121.1	Primary Assembly	5186	na
Contig1906	unplaced-scaffold	na	na	PJAA01000453.1	=	NW_019642124.1	Primary Assembly	5596	na
Contig1944	unplaced-scaffold	na	na	PJAA01000454.1	=	NW_019642136.1	Primary Assembly	4116	na
Contig1946	unplaced-scaffold	na	na	PJAA01000455.1	=	NW_019642137.1	Primary Assembly	4022	na
Contig1950	unplaced-scaffold	na	na	PJAA01000456.1	=	NW_019642139.1	Primary Assembly	3429	na
Contig1961	unplaced-scaffold	na	na	PJAA01000457.1	=	NW_019642142.1	Primary Assembly	3717	na
Contig1968	unplaced-scaffold	na	na	PJAA01000458.1	=	NW_019642145.1	Primary Assembly	8327	na
Contig1989	unplaced-scaffold	na	na	PJAA01000459.1	=	NW_019642153.1	Primary Assembly	3452	na
Contig1997	unplaced-scaffold	na	na	PJAA01000460.1	=	NW_019642155.1	Primary Assembly	5245	na
Contig2045	unplaced-scaffold	na	na	PJAA01000461.1	=	NW_019642169.1	Primary Assembly	3389	na
Contig2046	unplaced-scaffold	na	na	PJAA01000462.1	=	NW_019642171.1	Primary Assembly	4839	na
Contig2052	unplaced-scaffold	na	na	PJAA01000463.1	=	NW_019642174.1	Primary Assembly	3268	na
Contig2056	unplaced-scaffold	na	na	PJAA01000464.1	=	NW_019642175.1	Primary Assembly	3303	na
Contig2070	unplaced-scaffold	na	na	PJAA01000465.1	=	NW_019642180.1	Primary Assembly	3362	na
Contig2096	unplaced-scaffold	na	na	PJAA01000466.1	=	NW_019642192.1	Primary Assembly	3299	na
Contig2120	unplaced-scaffold	na	na	PJAA01000467.1	=	NW_019642203.1	Primary Assembly	3328	na
Contig2126	unplaced-scaffold	na	na	PJAA01000468.1	=	NW_019642207.1	Primary Assembly	4090	na
Contig2151	unplaced-scaffold	na	na	PJAA01000469.1	=	NW_019642217.1	Primary Assembly	4274	na
Contig2156	unplaced-scaffold	na	na	PJAA01000470.1	=	NW_019642218.1	Primary Assembly	6823	na
Contig2178	unplaced-scaffold	na	na	PJAA01000471.1	=	NW_019642226.1	Primary Assembly	3653	na
Contig2182	unplaced-scaffold	na	na	PJAA01000472.1	=	NW_019642228.1	Primary Assembly	7119	na
Contig2185	unplaced-scaffold	na	na	PJAA01000473.1	=	NW_019642230.1	Primary Assembly	3724	na
Contig2190	unplaced-scaffold	na	na	PJAA01000474.1	=	NW_019642232.1	Primary Assembly	4222	na
Contig2194	unplaced-scaffold	na	na	PJAA01000475.1	=	NW_019642236.1	Primary Assembly	3396	na
Contig2204	unplaced-scaffold	na	na	PJAA01000476.1	=	NW_019642242.1	Primary Assembly	6255	na
Contig2219	unplaced-scaffold	na	na	PJAA01000477.1	=	NW_019642245.1	Primary Assembly	3712	na
Contig2228	unplaced-scaffold	na	na	PJAA01000478.1	=	NW_019642251.1	Primary Assembly	7679	na
Contig2235	unplaced-scaffold	na	na	PJAA01000479.1	=	NW_019642256.1	Primary Assembly	3696	na
Contig2236	unplaced-scaffold	na	na	PJAA01000480.1	=	NW_019642257.1	Primary Assembly	3990	na
Contig2237	unplaced-scaffold	na	na	PJAA01000481.1	=	NW_019642258.1	Primary Assembly	3417	na
Contig2241	unplaced-scaffold	na	na	PJAA01000482.1	=	NW_019642260.1	Primary Assembly	5627	na
Contig2269	unplaced-scaffold	na	na	PJAA01000483.1	=	NW_019642269.1	Primary Assembly	5424	na
Contig2279	unplaced-scaffold	na	na	PJAA01000484.1	=	NW_019642273.1	Primary Assembly	5390	na
Contig2301	unplaced-scaffold	na	na	PJAA01000485.1	=	NW_019642283.1	Primary Assembly	4513	na
Contig2330	unplaced-scaffold	na	na	PJAA01000486.1	=	NW_019642289.1	Primary Assembly	4211	na
Contig2333	unplaced-scaffold	na	na	PJAA01000487.1	=	NW_019642291.1	Primary Assembly	3168	na
Contig2335	unplaced-scaffold	na	na	PJAA01000488.1	=	NW_019642292.1	Primary Assembly	3649	na
